id, name, description, count
1070010671918665728,NicoloPagan,"PhD Student at ETH Zürich, applied mathematician as training.
Working on mathematical modelling of social networks.
Loving travel, outdoor sports, and chess.",1
848539500167004160,sebastian_ruf,Control Theory. Complex Networks. Improv. Postdoc @NUnetsi He/Him/His,5
814015332,dinacmistry,postdoc @IDMOD_ORG. PhD from MOBS Lab @NUnetsci. #NetworkScience | #Physics | #Epidemiology | #SteelPannist | #FirstGen |she/her.,13
1220359214884904965,SINSA2020,"The 2020 Summer Institute in Network Science and its Applications offers 8 short, intensive network science courses. A joint @NUnetsi & @IUNetSci program.",2
382393,ciro,Data Science · Digital Epidemiology · Computational Social Science. https://t.co/xoSUF37mVu co-founder. @unito @ISI_Fondazione @FondazioneCRT,9
574364219,dgarcia_eu,"Group leader at the Complexity Science Hub in Vienna https://t.co/E9IRmTRDX0 and the Medical University of Vienna, working on Computational Social Science",6
415906140,net_science,"Associate Prof in Network Science Organiser of @databeersldn & https://t.co/jFq71FOJfo @ISI_Fondazione fellow, Economic Graph Researcher @linkedin",53
1524770221,mmdkhosravi,"Researcher/Doctoral student, Automatic Control Lab, ETH Zürich. Data Science, System Theory and Applied Mathematics (RKHS+SYSID)",1
934090570930286593,c_stadtfeld,Assistant Professor of Social Networks at @ETH_en. Co-director of the ETH Social Networks Lab (https://t.co/BZynv7gQGY).,6
257111136,s_cresci,"Researcher, IIT-CNR, Italy. I work on #socialmedia analysis, social #bot detection and crisis informatics. I love travels 🛫, food 🍝, and data 📊. Tw: 🇬🇧🇮🇹",2
896094324341039104,susan_dagostino,"Mathematician & writer @JohnsHopkins, author of HOW TO FREE YOUR INNER MATHEMATICIAN @OxUniPress, essays in @QuantaMagazine @sciam @FT @nature @slate #math",1
885237745198747648,stiso_jennifer,"Neuroscience PhD candidate at UPenn, my days consist of writing code, and watching dogs from coffee shops. She/hers.",1
848913193867124742,SarahWest382,"Neuroscience PhD candidate at the University of Minnesota. Motor neuroscience, network science. Former MD/PhD. Also a dog sport and animal enthusiast. She/her.",2
82503888,neuroperson,Neuroscientist interested in brain dynamics and spontaneous cognition,1
86523055,mdiberna,"Professor of Nonlinear Systems and Control at @Bristoluni and @UninaIT tweeting about #Control, #Chaos and #Complexity. Fellow @IEEEorg",15
321783625,olivercliff,"Postdoc @Sydney_Uni all about complexity, from brain dynamics and epidemics to multi-robot planning. Views my own, I think.",1
1367912887,StephaneDeny,Just a citizen,2
814274646,artistjaneadams,Data Visualization Artist-in-Residence at the University of Vermont @uvmcomplexity @compstorylab 🌿 @VT_WiMLDS Organizer 🌱 Emergent Media Artist,6
60458714,jlizier,"Assoc./Prof. in Complex Systems @Sydney_Uni. I research information processing in nature, networks, neuro, etc. Author of @infodynamicstkt. Views my own/RTs",19
46152530,narnolddd,"Networks ∩ Time
CS PhD student at QMUL
Email n.a.arnold [at] https://t.co/ByeuzWAjb4 She/Her",9
1167145117452570626,Networks2021,"Networks 2021
July 6-11, 2021 | Washington D.C.
The joint annual meeting of Sunbelt (@SocNetAnalysts) and NetSci (@netscisociety)
Host: @IUNetSci",1
857326581701849088,sattertt,"Assistant Professor at the University of Pennsylvania | Neuroimaging, neuroinformatics, brain development, psychiatry, network science, machine learning.",5
952270171124719616,systmedicine,"Modeling Infectious Diseases
l Dad🚼 l Group Leader l Viruses and more Viruses
#Infection l #Immunity l #Mathematics l #ControlTheory l #COVID19",4
847127276,caioseguin,"PhD candidate at @MNC_Psychiatry and @unimelb. Interested in connectomics, network science and the interface between life and computational sciences.",6
562020929,FroehlichMarcel,"Director Services @eccenca. #KnowledgeGraphs for #DigitalTransformation. 
Other: #ComplexNetworks, #Meaning, #Structure, #Data, #Identifers, #Privacy, #Ethics.",1
1067513782044368896,klts0,"PhD candidate Soc Epi @HarvardChanSPH @HarvardFXB. Governing Council @iasociety, Board @lvctKe. Previously @mpactglobal @FulbrightPrgrm @ColumbiaMSPH @UCT_news",2
2160138829,neuro_dz,Neuroscience PhD candidate @Penn,1
285380882,joshfasky,"grad student; aiming to find intersection of brains, networks, and free food on campus; @IUBloomington hoosier and @USC trojan; #COYS @SpursOfficial",1
954335153723183104,LdaFCosta,"Connected to complex systems, networks, image/shape analysis, pattern recognition, neuroinformatics, music, and electronics.  Full prof of physics at USP.",33
3837804028,RodrigoMigueles,"Scientist, biochemist. Interested in protein-protein interaction networks and complex systems.",1
1072324469593563138,HassanDehghaniA,PhD student in control engineering at the University of Newcastle. Trying to understand opinion dynamics in social networks. Interested in networked systems.,1
564089684,LuisMateusRocha,"Complex systems, networks, biomedicine, AI, evolution. Music, politics, post-national identity. DJ as E-Trash. E se mais mundo houvera, lá chegara.",9
19714395,rionbr,"Complexity scientist, lover of nature and systems. PostDoctoral Researcher at @IGCiencia",11
16458709,dbemerydt,"scientist, test subject, boricua, he, him, his",2
450742208,BabakRavandi,Passionate about understanding and modeling #ComplexSystems. Postdoc @Northeastern in CCNR Barabási lab. @PurdueCIT & @IllinoisTech alumni.,2
770687821535449090,Enri_amico,"Physicist, brain networks enthusiast and Ambizione research leader at EPFL",2
1058470939,BenChiem,PhD Student at Université catholique de Louvain. I am interested in complex networks methods applied to the analysis of the human brain.,1
877976768061243392,ArianAshourvan,Postdoctoral fellow at University of Pennsylvania,1
17602404,jasnyder610,"Math, Mountains, Mirth. Postdoc in applied math at the University of Washington",2
487705992,CarolinaMttssn,PhD candidate at NetSI at NEU. I study how money moves and the data breadcrumbs we leave behind as we go about our lives. Give me music and I'll dance.,5
827658288040861696,NicoleEikmeier,higher-order network models,2
816321694319181824,societyoftrees,"Data research, communication networks, ethical technology. Formerly obsessed with the forests in our brains. Postdoctoral research at the University of Chicago",1
1557533940,AlicePatania,Assistant research scientist @IUNetSci. Topological Data Analysis scholar and network scientist. Infographic enthusiasts trying to understand the brain. she/her,19
958887670477975552,PedroM_Z,"Ph.D. student @GeorgiaTech, awed at the emergence & evolution of living systems 🧬. Philosophy apprentice 🕮. A native of the Purépecha region of México 🇲🇽.",3
1069045039,dan_marinazzo,"Brain, models, complexity @ugent.
Deputy editor @PLOSCompBiol, EiC @nbdt_journal, AE @PLOSONE, @netneurosci, @NeuroImage_EiC, Brain Topography, @PLOSChannels.",7
1120789424118407168,towlsonek,Associate Research Scientist CCNR NEU | Research Affiliate MIT | Homeward Bound TeamHB4 | network (neuro)scientist | runner | cat guardian | human being,1
18247347,tiagopeixoto,"Physics & Networks.

Also on Mastodon ➡️ https://t.co/wgkda2aka8",11
901619517155151873,MalloryJFeldman,Social Affective Psychophysiologist (she/her),1
2290819595,conorheins,"Active inference, free energy minimization, and complex systems. PhD student at @CollectiveBehav",6
1111238619002531840,winter_complex,The Winter Workshop on Complex Systems is a workshop for early career researchers to gather together and engage in interdisciplinary research on complex systems,2
834514130035957775,sam_rosenbott,Noisy data and network influence | Humans and bees | @uvmcomplexity and @UVMCompSci | Outreach Officer of @official_SYNS :network-heart: | HUGE podcast fan,3
212640939,syedarehaq,,6
43712315,josemarfdc,👨🏽‍🔬👨🏽‍💻🗄📊📈📉,1
801932087850835968,LaNet_2019,"2nd Latin American Conference on Complex Networks, Cartagena (Colombia) 5-9 August 2019",13
772310749,AmarDhand,Director of the Dhand Lab. 🇨🇦🇺🇸Neurologist and network scientist aiming to better understand and harness social networks in medicine.,50
79749258,bethsawin,Co-founder co-director @climateinteract. Multisolving for people and climate. She/her TEDx talk: https://t.co/Z56MZvHqUL,5
14403154,introspection,"Social Physiology, Systems NeuroBiology & Computational Medicine at @InstitutPasteur/@APHP 🧠🧬@HackYourPhD/@ALIUSresearch cofounder📎 Psychiatry, AI/ML, VR/MR…",1
824241575706427392,official_SYNS,"Official account of the Society of Young Network Scientists #SYNS ! If you're a young network scientist, whether by age or experience, you belong here. Join us!",47
263807286,matteo_brainnet,Assistant Professor of Computer Engineering @univca interested in M/EEG Brain Networks. Dad. RTs are (generally) bookmarks.,2
266372861,j_theriault,"Post-doc at Northeastern University. Studies Social/Cognitive Neuroscience and Morality.

https://t.co/Kdrm7FxfMM",1
160925047,mccabe_s,PhD student @NUnetsi. @CSS_GMU alum.,5
243804207,amaatouq,"networks, collective intelligence, computational social science .. assistant professor @MIT",4
318262821,george_berry,"Sociologist at Civis working to elect Dems. Interests: experiments, social influence, social networks, Bayesian stats (😱), train memes. he/him.",5
1045763448670486529,ChrisWLynn,Physics PhD student working on networks and information thoery with Dani Bassett at the University of Pennsylvania #InfoTheory #Networks #StatMech,5
3413263721,emojicanava,"Associate Professor at Universidad Nacional de Colombia #UNAL. Control of Complex Networks, Operators Theory, and Evolutionary Game Theory",6
18252261,TedPavlic,@ASU Asst Prof in CIDSE/Sustainability (@ASUengineering/@ASUgreen). Interdisciplinary research in decision mkg of natural+artificial autonomous systems. He/Him,1
3352671022,aliceschwarze,"Postdoc @UWBiology // research in Math Bio, Comp Neuro, Network Science, Complex Systems // likes maths, science, books, birds, and more!",25
890863214690480129,manuel_pita_,AI and Complex Networks. I study collective information processing in bio and social systems. Retweets ≠ endorsement. I’m also known as @sejkko 👨🏻‍💻☄️👨🏻‍🎨,4
